location,count(*)
"Cornas, Rhone, France",118
"Anderson Valley, Mendocino, California",113
"Lodi, California",113
"Dry Creek Valley, Sonoma County, California",112
"Haut Medoc, Bordeaux, France",111
"Yamhill-Carlton District, Willamette Valley, Oregon",107
"Sonoma Valley, Sonoma County, California",106
"Central Otago, New Zealand",101
"Clare Valley, Australia",100
"Margaret River, Australia",99
"Mt. Veeder, Napa Valley, California",92
"Santa Ynez Valley, Santa Barbara, Central Coast, California",92
"Sierra Foothills, California",88
"Dundee Hills, Willamette Valley, Oregon",86
"Asti, Piedmont, Italy",84
"Mendocino, California",83
"Knights Valley, Sonoma County, California",79
"Vacqueyras, Rhone, France",76
"Red Mountain, Yakima Valley, Columbia Valley, Washington",73
"Diamond Mountain District, Napa Valley, California",72
"Yarra Valley, Australia",71
"Fronsac, Bordeaux, France",71
"Sardinia, Italy",69
"Ribbon Ridge, Willamette Valley, Oregon",66
"Jumilla, Spain",66
"Amador, Sierra Foothills, California",66
Israel,65
"Beaune, Cote de Beaune, Cote d'Or, Burgundy, France",62
New Zealand,62
"Chambolle-Musigny, Cote de Nuits, Cote d'Or, Burgundy, France",62
"Volnay, Cote de Beaune, Cote d'Or, Burgundy, France",61
"Saint-Joseph, Rhone, France",61
"Hawkes Bay, New Zealand",59
"Petaluma Gap, Sonoma Coast, Sonoma County, California",59
"Cotes de Castillon, Bordeaux, France",58
"Barossa, Australia",57
"Monterey, Central Coast, California",56
"Abruzzo, Italy",56
"Edna Valley, Central Coast, California",55
"Vosne-Romanee, Cote de Nuits, Cote d'Or, Burgundy, France",55
"Crozes-Hermitage, Rhone, France",55
"Martinborough, New Zealand",52
"Cote de Nuits, Cote d'Or, Burgundy, France",51
"Toro, Spain",51
"Campania, Italy",50
"Umbria, Italy",49
Oregon,49
Washington,48
"Bierzo, Spain",48
"Chinon, Touraine, Loire, France",46
"Morey-St-Denis, Cote de Nuits, Cote d'Or, Burgundy, France",44
"Vougeot, Cote de Nuits, Cote d'Or, Burgundy, France",43
"Douro, Portugal",42
France,42
"Mt. Harlan, Central Coast, California",41
"Trentino-Alto Adige, Italy",38
"Stellenbosch, South Africa",38
"Cote de Beaune, Cote d'Or, Burgundy, France",37
"Patagonia, Argentina",36
"Cotes du Rhone Villages, Rhone, France",36
"Pommard, Cote de Beaune, Cote d'Or, Burgundy, France",36
"Atlas Peak, Napa Valley, California",35
"Maule Valley, Chile",35
"Aconcagua Valley, Chile",34
"Flagey-Echezeaux, Cote de Nuits, Cote d'Or, Burgundy, France",34
"Aloxe-Corton, Cote de Beaune, Cote d'Or, Burgundy, France",32
"Green Valley, Russian River Valley, Sonoma County, California",32
New York,31
"Montepulciano, Tuscany, Italy",30
"Minervois, Languedoc-Roussillon, France",28
"Coombsville, Napa Valley, California",27
"Adelaida District, Paso Robles, Central Coast, California",26
"Ballard Canyon, Santa Barbara, Central Coast, California",26
"Cahors, Southwest, France",25
"Fort Ross-Seaview, Sonoma Coast, Sonoma County, California",25
"Friuli-Venezia Giulia, Italy",25
"Casablanca Valley, Chile",24
"Puglia, Italy",23
"Salta, Argentina",23
"Horse Heaven Hills, Columbia Valley, Washington",23
"Oak Knoll District, Napa Valley, California",23
"Provence, France",23
"Lirac, Rhone, France",22
"Red Hills, Lake County, North Coast, California",22
"Rockpile, Sonoma County, California",22
"Chehalem Mountains, Willamette Valley, Oregon",22
"Moon Mountain District, Sonoma Valley, Sonoma County, California",22
"Cotes du Ventoux, Rhone, France",22
"Savigny-les-Beaune, Cote de Beaune, Cote d'Or, Burgundy, France",22
"Bandol, Provence, France",21
"Cachapoal Valley, Rapel Valley, Chile",20
"Rasteau, Rhone, France",20
"Rogue Valley, Oregon",19
"Lake County, North Coast, California",19
"Arroyo Grande Valley, Central Coast, California",19
Greece,18
"Navarra, Spain",17
"Graves, Bordeaux, France",17
"El Dorado, Sierra Foothills, California",17
"Mercurey, Cote Chalonnaise, Burgundy, France",17
"Eden Valley, Barossa, Australia",16
"Minervois La Liviniere, Languedoc-Roussillon, France",16
"Tasmania, Australia",16
"Willow Creek District, Paso Robles, Central Coast, California",15
"Leyda Valley, San Antonio Valley, Chile",15
"Montsant, Spain",14
"Costieres de Nimes, Rhone, France",14
"Sonoma Mountain, Sonoma Valley, Sonoma County, California",14
"Chalk Hill, Sonoma County, California",14
"Wahluke Slope, Columbia Valley, Washington",14
"Rias Baixas, Spain",13
"Marsannay, Cote de Nuits, Cote d'Or, Burgundy, France",13
"Basilicata, Italy",13
"La Mancha, Spain",12
"Cotes de Francs, Bordeaux, France",12
"Yorkville Highlands, Mendocino, California",12
"San Francisco Bay, Central Coast, California",12
"Hunter Valley, Australia",11
"Roero, Piedmont, Italy",11
Virginia,11
"Corbieres, Languedoc-Roussillon, France",11
"Limari Valley, Chile",11
"Moulis, Bordeaux, France",11
"Rapel Valley, Chile",11
"San Benito, Central Coast, California",11
"Alentejo, Portugal",11
"Calabria, Italy",10
"Livermore Valley, Central Coast, California",10
"Franschhoek Valley, South Africa",10
"Mendocino Ridge, Mendocino, California",10
"Umpqua Valley, Oregon",10
,9
"Happy Canyon, Santa Barbara, Central Coast, California",9
"Carmignano, Tuscany, Italy",9
"San Antonio Valley, Chile",9
"High Valley, Lake County, North Coast, California",9
"Swartland, South Africa",9
"Scansano, Tuscany, Italy",8
"Fixin, Cote de Nuits, Cote d'Or, Burgundy, France",8
"Adelaide, Australia",8
"Southwest, France",8
"Bennett Valley, Sonoma Valley, Sonoma County, California",8
"Dogliani, Piedmont, Italy",8
"Naoussa, Greece",8
"Chorey-les-Beaune, Cote de Beaune, Cote d'Or, Burgundy, France",8
"La Clape, Languedoc-Roussillon, France",8
"McMinnville, Willamette Valley, Oregon",8
"Sancerre, Loire, France",7
"Finger Lakes, New York",7
"Lalande de Pomerol, Bordeaux, France",7
"Loire, France",7
"Valdeorras, Spain",7
Uruguay,7
"Santa Margarita Ranch, Paso Robles, Central Coast, California",6
"Clarksburg, Yolo County, California",6
"Lazio, Italy",6
"Dunnigan Hills, Yolo County, California",5
"Fiddletown, Sierra Foothills, California",5
"Shenandoah Valley, Sierra Foothills, California",5
"Santenay, Cote de Beaune, Cote d'Or, Burgundy, France",5
"Vinsobres, Rhone, France",5
"Chalone, Monterey, Central Coast, California",5
"Coteaux du Languedoc, Languedoc-Roussillon, France",5
"Canterbury, New Zealand",5
"Chassagne-Montrachet, Cote de Beaune, Cote d'Or, Burgundy, France",5
Austria,5
"Terra Alta, Spain",5
"Nemea, Greece",5
"Chiles Valley, Napa Valley, California",5
"Santa Clara Valley, San Francisco Bay, Central Coast, California",5
Macedonia (FYROM),5
"Maranges, Cote de Beaune, Cote d'Or, Burgundy, France",4
"Snipes Mountain, Yakima Valley, Columbia Valley, Washington",4
"Arroyo Seco, Monterey, Central Coast, California",4
"Elqui Valley, Chile",4
"Monthelie, Cote de Beaune, Cote d'Or, Burgundy, France",4
"Saumur, Loire, France",4
"Marche, Italy",4
"Rheingau, Germany",4
"Cotes du Luberon, Rhone, France",4
"Lombardy, Italy",4
"Mornington Peninsula, Australia",4
"Carmel Valley, Monterey, Central Coast, California",4
"Alto Adige, Trentino-Alto Adige, Italy",4
"Burgenland, Austria",4
"Givry, Cote Chalonnaise, Burgundy, France",4
"Long Island, New York",4
Other,4
"Marin County, North Coast, California",4
"Other Peloponnese, Greece",4
"Alsace, France",4
"Paarl, South Africa",3
"Eagle Peak, Mendocino, California",3
"York Mountain, Central Coast, California",3
"Jura, France",3
"Curico Valley, Chile",3
"San Bernabe, Monterey, Central Coast, California",3
"Pfalz, Germany",3
"Paicines, Central Coast, California",3
"Vin de France, France",3
"Cote d'Or, Burgundy, France",3
"Bourgueil, Touraine, Loire, France",3
"Constantia, South Africa",3
Turkey,3
"Templeton Gap District, Paso Robles, Central Coast, California",3
Lebanon,2
"Limoux, Languedoc-Roussillon, France",2
"Canary Islands, Spain",2
"Corsica, France",2
China,2
"Dao, Portugal",2
"Fountaingrove District, Sonoma County, California",2
"Los Olivos District, Santa Barbara, Central Coast, California",2
"Neive, Piedmont, Italy",2
"Padthaway, Limestone Coast, Australia",2
"Cafayate Valley, Salta, Argentina",1
"McDowell Valley, Mendocino, California",1
"Suisun Valley, North Coast, California",1
"Pouilly-Fuisse, Maconnais, Burgundy, France",1
"Emilia-Romagna, Italy",1
"Ontario, Canada",1
"Hudson River Region, New York",1
"Somontano, Spain",1
"Penedes, Spain",1
"Rattlesnake Hills, Yakima Valley, Columbia Valley, Washington",1
"Pernand-Vergelesses, Cote de Beaune, Cote d'Or, Burgundy, France",1
"Cotes de Provence, Provence, France",1
"Puligny-Montrachet, Cote de Beaune, Cote d'Or, Burgundy, France",1
"Rueda, Spain",1
"Saint-Chinian, Languedoc-Roussillon, France",1
"Crete, Greece",1
"Neusiedlersee, Austria",1
"Molise, Italy",1
"Emilia, Emilia-Romagna, Italy",1
"Listrac, Bordeaux, France",1
"Nelson, New Zealand",1
"Cotes de Bourg, Bordeaux, France",1
Canada,1
"Cari̱ena, Spain",1
"Serraluna d'Alba, Piedmont, Italy",1
Slovenia,1
"Potter Valley, Mendocino, California",1
"Columbia Gorge, Washington",1
"Wairarapa, New Zealand",1
"La Rioja, Argentina",1
"Limestone Coast, Australia",1
"Cienega Valley, Central Coast, California",1
