name,vintage,type,score,prediction,difference
Salicutti Brunello di Montalcino Piaggione,2007,brunello,93,91.346741.5,1.653259.5
Valdicava Brunello di Montalcino,1999,brunello,91,92.782585.5,-1.782585.5
Valdicava Brunello di Montalcino,2001,brunello,98,95.239693.5,2.760307.5
San Felice Campogiovanni Brunello di Montalcino,2007,brunello,94,89.913269.5,4.086731.5
San Felice Campogiovanni Brunello di Montalcino Il Quercione,2006,brunello,93,91.730240.5,1.269760.5
Capanna Brunello di Montalcino,2007,brunello,94,90.470734.5,3.529266.5
Capanna Brunello di Montalcino Riserva,2006,brunello,95,92.128426.5,2.871574.5
Ciacci Piccolomini d'Aragona Brunello di Montalcino Pianrosso,2007,brunello,96,91.028191.5,4.971809.5
Poggio Antico Brunello di Montalcino,2007,brunello,94,91.546227.5,2.453773.5
Poggio Antico Brunello di Montalcino Altero,2007,brunello,98,91.705505.5,6.294495.5
Poggio Antico Brunello di Montalcino Riserva,2006,brunello,94,93.522476.5,0.477524.5
Pietranera Brunello di Montalcino,2007,brunello,90,89.873451.5,0.126549.5
La Serena Brunello di Montalcino,2007,brunello,94,90.351273.5,3.648727.5
La Serena Brunello di Montalcino Riserva Gemini,2006,brunello,96,91.729446.5,4.270554.5
San Filippo Brunello di Montalcino Le Lucere,2007,brunello,94,90.391090.5,3.608910.5
Uccelliera Brunello di Montalcino,2007,brunello,94,90.550369.5,3.449631.5
Banfi Brunello di Montalcino,2007,brunello,94,91.028191.5,2.971809.5
Frescobaldi Castelgiocondo Brunello di Montalcino,2007,brunello,94,90.470734.5,3.529266.5
Il Poggione Brunello di Montalcino,2007,brunello,94,91.346741.5,2.653259.5
Primus Malbec,2010,malbec,90,89.177979.5,0.822021.5
Gaja Rennina Brunello di Montalcino,2007,brunello,94,93.337662.5,0.662338.5
Il Poggione Brunello di Montalcino Riserva Vigna Paganelli,2006,brunello,93,92.128426.5,0.871574.5
Tenute Silvio Nardi Brunello di Montalcino,2007,brunello,95,91.147644.5,3.852356.5
Podere Brizio Brunello di Montalcino,2007,brunello,92,90.430908.5,1.569092.5
Frescobaldi Castelgiocondo Brunello di Montalcino Riserva,2005,brunello,93,91.516464.5,1.483536.5
Frescobaldi Castelgiocondo Brunello di Montalcino Riserva,2006,brunello,95,92.487190.5,2.512810.5
Col d'Orcia Brunello di Montalcino,2007,brunello,92,89.953087.5,2.046913.5
Camigliano Brunello di Montalcino,2007,brunello,91,90.351273.5,0.648727.5
Gaja Sugarille Brunello di Montalcino,2008,brunello,92,94.746399.5,-2.746399.5
La Gerla Brunello di Montalcino,2007,brunello,92,90.351273.5,1.648727.5
Ciacci Piccolomini d'Aragona Brunello di Montalcino,2007,brunello,92,90.510551.5,1.489449.5
Friggiali Brunello di Montalcino,2007,brunello,92,89.753998.5,2.246002.5
Valdicava Brunello Riserva Madonna del Piano,2001,brunello,100,101.970222.5,-1.970222.5
Achaval-Ferrer Finca Bella Vista Malbec,2011,malbec,98,93.374008.5,4.625992.5
Fuligni Brunello di Montalcino Riserva,2006,brunello,96,93.123886.5,2.876114.5
Val di Suga Brunello di Montalcino,2007,brunello,92,90.908737.5,1.091263.5
Mastrojanni Brunello di Montalcino,2007,brunello,95,89.913269.5,5.086731.5
Ruffino Greppone Mazzi Brunello di Montalcino,2006,brunello,91,90.535683.5,0.464317.5
Montes Alpha Series Malbec,2011,malbec,91,89.192665.5,1.807335.5
La Poderina Brunello di Montalcino,2007,brunello,93,90.470734.5,2.529266.5
Valle Las Acequias Malbec Roble,2008,malbec,91,88.949516.5,2.050484.5
Achaval-Ferrer Finca Mirador Malbec,2011,malbec,93,93.174522.5,-0.174522.5
Fuligni Brunello di Montalcino,2007,brunello,95,91.744125.5,3.255875.5
Lisini Brunello di Montalcino,2007,brunello,93,91.306915.5,1.693085.5
Casanova di Neri Brunello di Montalcino White Label,2008,brunello,90,90.246506.5,-0.246506.5
Uccelliera Brunello di Montalcino Riserva,2006,brunello,96,92.924797.5,3.075203.5
Casanova di Neri Brunello di Montalcino Tenuta Nuova,2008,brunello,94,91.361427.5,2.638573.5
Casanova di Neri Brunello di Montalcino Cerretalto,2007,brunello,97,98.872841.5,-1.872841.5
La Poderina Brunello di Montalcino Poggio Abate Riserva,2006,brunello,96,90.933868.5,5.066132.5
Mastrojanni Brunello di Montalcino,2008,brunello,94,91.720192.5,2.279808.5
Caparzo Brunello di Montalcino,2008,brunello,92,89.768684.5,2.231316.5
Il Poggione Brunello di Montalcino Riserva Vigna Paganelli,2007,brunello,95,93.337662.5,1.662338.5
Frescobaldi Castelgiocondo Brunello di Montalcino,2008,brunello,93,90.963242.5,2.036758.5
Banfi Brunello di Montalcino,2008,brunello,93,90.883598.5,2.116402.5
Castiglion del Bosco Brunello di Montalcino,2007,brunello,92,90.032730.5,1.967270.5
Altocedro Ano Cero Malbec,2012,malbec,92,89.366623.5,2.633377.5
Tenute Silvio Nardi Brunello di Montalcino,2008,brunello,92,90.166870.5,1.833130.5
Achaval-Ferrer Mendoza Malbec,2012,malbec,90,89.486076.5,0.513924.5
Ciacci Piccolomini d'Aragona Brunello di Montalcino,2008,brunello,91,89.171402.5,1.828598.5
Caparzo Brunello di Montalcino Riserva,2007,brunello,92,90.948555.5,1.051445.5
Luce Della Vite Brunello di Montalcino,2008,brunello,95,91.361427.5,3.638573.5
Il Poggione Brunello di Montalcino,2008,brunello,91,91.162331.5,-0.162331.5
Argiano Brunello di Montalcino,2008,brunello,93,90.405777.5,2.594223.5
Camigliano Brunello di Montalcino,2008,brunello,91,90.485413.5,0.514587.5
La Poderina Brunello di Montalcino,2008,brunello,93,90.525230.5,2.474770.5
San Filippo Brunello di Montalcino Le Lucere,2004,brunello,92,91.502174.5,0.497826.5
Tenuta la Fuga Brunello di Montalcino,2006,brunello,93,90.137497.5,2.862503.5
Conti Costanti Brunello di Montalcino Riserva,2007,brunello,95,92.501877.5,2.498123.5
Fabre Montmayou Grand Vin,2010,malbec,95,89.974350.5,5.025650.5
BenMarco Malbec,2012,malbec,90,89.127708.5,0.872292.5
La Gerla Brunello di Montalcino,2008,brunello,92,90.166870.5,1.833130.5
Livio Sassetti Brunello di Montalcino Pertimali,2008,brunello,93,89.967773.5,3.032227.5
Altesino Brunello di Montalcino,2009,brunello,93,90.739014.5,2.260986.5
Poggio Il Castellare Brunello di Montalcino,2007,brunello,94,90.948555.5,3.051445.5
Bodega Cuarto Dominio Chento Malbec,2011,malbec,92,89.312119.5,2.687881.5
Terrazas de los Andes Reserva Malbec,2012,malbec,92,89.127708.5,2.872292.5
Caparzo Brunello di Montalcino Riserva,2006,brunello,95,91.332054.5,3.667946.5
Antinori Pian Delle Vigne Brunello Di Montalcino,2008,brunello,92,90.565056.5,1.434944.5
Bodega Noemia de Patagonia Rio Negro Valley Malbec,2011,malbec,95,93.572708.5,1.427292.5
Susana Balbo Signature Malbec,2012,malbec,92,89.286980.5,2.713020.5
CARO Aruma Malbec,2013,malbec,91,89.142395.5,1.857605.5
CARO Aruma Malbec,2012,malbec,90,89.087494.5,0.912506.5
Frescobaldi Castelgiocondo Brunello di Montalcino,2009,brunello,94,90.579742.5,3.420258.5
Casanova di Neri Brunello di Montalcino Cerretalto,2008,brunello,96,98.130577.5,-2.130577.5
La Poderina Brunello di Montalcino Poggio Abate Riserva,2007,brunello,94,91.028191.5,2.971809.5
Casanova di Neri Brunello di Montalcino Tenuta Nuova,2009,brunello,93,91.575203.5,1.424797.5
Pascual Toso Malbec Reserve,2012,malbec,91,89.207344.5,1.792656.5
Casanova di Neri Brunello di Montalcino White Label,2009,brunello,90,90.579742.5,-0.579742.5
Trivento Eolo Malbec,2011,malbec,94,92.696693.5,1.303307.5
Banfi Brunello di Montalcino,2009,brunello,91,91.057564.5,-0.057564.5
Recuerdo Malbec,2012,malbec,91,89.207344.5,1.792656.5
Fossacolle Brunello di Montalcino,2009,brunello,92,90.460281.5,1.539719.5
Caparzo Brunello di Montalcino,2009,brunello,90,89.624092.5,0.375908.5
La Poderina Brunello di Montalcino Poggio Abate Riserva,2008,brunello,90,91.560516.5,-1.560516.5
Argiano Brunello di Montalcino,2009,brunello,92,90.380646.5,1.619354.5
Vitanza Brunello di Montalcino Riserva,2006,brunello,93,90.256950.5,2.743050.5
La Serena Brunello di Montalcino,2008,brunello,92,89.967773.5,2.032227.5
Tenute Silvio Nardi Brunello di Montalcino,2009,brunello,92,91.774300.5,0.225700.5
Siro Pacenti Brunello di Montalcino,2007,brunello,97,91.267097.5,5.732903.5
Dona Paula Estate Malbec,2012,malbec,93,88.928612.5,4.071388.5
Vina Amalia Reserva Malbec,2012,malbec,93,89.247162.5,3.752838.5
Catena Alta Malbec,2011,malbec,93,90.227943.5,2.772057.5
La Poderina Brunello di Montalcino,2009,brunello,91,90.301010.5,0.698990.5
Zuccardi Q Malbec,2012,malbec,91,89.127708.5,1.872292.5
Fattoria dei Barbi Brunello di Montalcino,2008,brunello,91,90.166870.5,0.833130.5
Bodegas Nieto Senetiner Malbec,2012,malbec,92,89.127708.5,2.872292.5
Kaiken Ultra Malbec,2012,malbec,94,89.247162.5,4.752838.5
Bodega Calle Alberti 154 Malbec,2012,malbec,91,89.127708.5,1.872292.5
Altesino Brunello di Montalcino Riserva,2007,brunello,95,90.948555.5,4.051445.5
Tenuta la Fuga Brunello di Montalcino,2009,brunello,90,90.579742.5,-0.579742.5
Il Poggione Brunello di Montalcino,2009,brunello,92,91.057564.5,0.942436.5
Le Chiuse Brunello di Montalcino Riserva,2006,brunello,91,90.535683.5,0.464317.5
Valdicava Brunello Riserva Madonna del Piano,2007,brunello,98,101.261955.5,-3.261955.5
Valdicava Brunello di Montalcino,2008,brunello,94,93.312935.5,0.687065.5
Poggio Antico Brunello di Montalcino Altero,2009,brunello,92,92.570671.5,-0.570671.5
Poggio Antico Brunello di Montalcino,2009,brunello,91,90.977928.5,0.022072.5
Vina Cobos Felino Malbec,2013,malbec,92,89.222031.5,2.777969.5
Fabre Montmayou Grand Vin,2011,malbec,94,90.068672.5,3.931328.5
Durigutti Malbec Reserva,2011,malbec,91,89.511208.5,1.488792.5
Durigutti Familia Malbec,2009,malbec,95,90.955132.5,4.044868.5
Luigi Bosca Malbec,2012,malbec,93,89.207344.5,3.792656.5
Fuligni Brunello di Montalcino Riserva,2007,brunello,95,93.536758.5,1.463242.5
Il Palazzone Brunello di Montalcino,2009,brunello,91,91.575203.5,-0.575203.5
Fuligni Brunello di Montalcino,2009,brunello,93,90.778831.5,2.221169.5
Altocedro Reserva Malbec,2012,malbec,93,89.804626.5,3.195374.5
Mendel Malbec,2012,malbec,94,89.286980.5,4.713020.5
Caparzo Brunello di Montalcino Riserva,2009,brunello,90,91.376114.5,-1.376114.5
Vina Cobos Cobos Malbec,2011,malbec,100,95.763123.5,4.236877.5
Vina Cobos Bramare Rebon Vineyard Malbec,2011,malbec,96,91.741051.5,4.258949.5
Vina Cobos Bramare Uco Valley Malbec,2012,malbec,93,90.202812.5,2.797188.5
Bodega Colome Estate Malbec,2012,malbec,92,89.366623.5,2.633377.5
Mastrojanni Brunello di Montalcino Vigna Loreto,2008,brunello,92,91.560913.5,0.439087.5
Alta Vista Estate Malbec,2013,malbec,90,89.102577.5,0.897423.5
Antinori Pian Delle Vigne Brunello Di Montalcino,2009,brunello,94,92.371971.5,1.628029.5
Fabre Montmayou Reserva Malbec,2013,malbec,93,88.983116.5,4.016884.5
Finca Decero Remolinos Vineyard Malbec,2013,malbec,90,89.102577.5,0.897423.5
BenMarco Malbec,2013,malbec,92,89.102577.5,2.897423.5
Fabre Montmayou Gran Reserva Malbec,2012,malbec,93,89.406441.5,3.593559.5
Casanova di Neri Brunello di Montalcino White Label,2010,brunello,96,90.792717.5,5.207283.5
Gaja Rennina Brunello di Montalcino,2010,brunello,94,94.974464.5,-0.974464.5
Altesino Brunello di Montalcino,2010,brunello,95,90.992607.5,4.007393.5
Gaja Sugarille Brunello di Montalcino,2010,brunello,97,95.173561.5,1.826439.5
Vina Cobos Bramare Rebon Vineyard Malbec,2012,malbec,94,91.795555.5,2.204445.5
Achaval-Ferrer Finca Altamira Malbec,2012,malbec,93,93.388290.5,-0.388290.5
La Serena Brunello di Montalcino,2010,brunello,97,90.992607.5,6.007393.5
Gianni Brunelli Brunello di Montalcino,2010,brunello,95,90.196236.5,4.803764.5
Ciacci Piccolomini d'Aragona Brunello di Montalcino,2010,brunello,94,93.580017.5,0.419983.5
Ciacci Piccolomini d'Aragona Brunello di Montalcino Pianrosso,2010,brunello,98,91.590286.5,6.409714.5
Ciacci Piccolomini d'Aragona Brunello di Montalcino Pianrosso Riserva Santa Caterina d'Oro,2010,brunello,100,94.576279.5,5.423721.5
San Filippo Brunello di Montalcino,2010,brunello,97,90.793518.5,6.206482.5
San Filippo Brunello di Montalcino Le Lucere,2010,brunello,98,91.788979.5,6.211021.5
Voliero Brunello di Montalcino,2010,brunello,96,90.594421.5,5.405579.5
Siro Pacenti Brunello di Montalcino Pelagrilli,2010,brunello,96,90.514786.5,5.485214.5
Siro Pacenti Brunello di Montalcino,2010,brunello,100,93.380928.5,6.619072.5
Argiano Brunello di Montalcino,2010,brunello,98,91.389999.5,6.610001.5
Poggio Antico Brunello di Montalcino,2010,brunello,97,91.390793.5,5.609207.5
Poggio Antico Brunello di Montalcino Altero,2010,brunello,96,92.187164.5,3.812836.5
Canalicchio di Sopra Brunello di Montalcino,2010,brunello,96,93.380928.5,2.619072.5
Castello Romitorio Brunello di Montalcino,2010,brunello,94,90.992607.5,3.007393.5
Castello Romitorio Cru Filo di Seta Brunello di Montalcino,2010,brunello,98,92.625168.5,5.374832.5
Valdicava Brunello di Montalcino,2010,brunello,99,93.380928.5,5.619072.5
Valdicava Brunello Riserva Madonna del Piano,2009,brunello,94,94.162613.5,-0.162613.5
Ricardo Santos Malbec,2013,malbec,90,89.181816.5,0.818184.5
Casanova di Neri Brunello di Montalcino Tenuta Nuova,2010,brunello,99,99.353706.5,-0.353706.5
Caparzo Brunello di Montalcino,2010,brunello,95,89.798050.5,5.201950.5
Caparzo Brunello di Montalcino La Casa,2010,brunello,96,91.151886.5,4.848114.5
Castiglion del Bosco Brunello di Montalcino,2010,brunello,96,90.076782.5,5.923218.5
Pascual Toso Estate Malbec,2013,malbec,90,88.943298.5,1.056702.5
Fossacolle Brunello di Montalcino,2010,brunello,97,90.594421.5,6.405579.5
Talenti Brunello di Montalcino,2010,brunello,96,90.196236.5,5.803764.5
La Poderina Brunello di Montalcino,2010,brunello,94,90.036964.5,3.963036.5
Altesino Montosoli Brunello di Montalcino,2010,brunello,97,94.178093.5,2.821907.5
Banfi Brunello di Montalcino,2010,brunello,95,90.793518.5,4.206482.5
Achaval-Ferrer Finca Bella Vista Malbec,2012,malbec,92,93.587387.5,-1.587387.5
San Felice Campogiovanni Brunello di Montalcino,2010,brunello,96,90.355515.5,5.644485.5
Piccini Brunello di Montalcino,2010,brunello,94,90.793518.5,3.206482.5
Altocedro Ano Cero Malbec,2013,malbec,90,89.022934.5,0.977066.5
Fuligni Brunello di Montalcino,2010,brunello,98,91.430611.5,6.569389.5
Banfi Poggio alle Mura Brunello di Montalcino,2010,brunello,97,92.545929.5,4.454071.5
Fattoria dei Barbi Brunello di Montalcino,2010,brunello,96,90.355515.5,5.644485.5
Podere Brizio Brunello di Montalcino,2010,brunello,93,90.594421.5,2.405579.5
Uccelliera Brunello di Montalcino,2010,brunello,94,91.072243.5,2.927757.5
Tenute Silvio Nardi Brunello di Montalcino,2010,brunello,95,90.554604.5,4.445396.5
La Gerla Brunello di Montalcino,2010,brunello,94,90.793518.5,3.206482.5
Mastrojanni Brunello di Montalcino,2010,brunello,98,91.390793.5,6.609207.5
Il Palazzone Brunello di Montalcino,2010,brunello,95,90.275871.5,4.724129.5
Belasco de Baquedano AR Guentota Malbec,2011,malbec,90,89.391754.5,0.608246.5
Concha y Toro Gran Reserva Serie Riberas Malbec,2013,malbec,92,89.182213.5,2.817787.5
Il Poggione Brunello di Montalcino,2010,brunello,93,92.186371.5,0.813629.5
Frescobaldi Castelgiocondo Brunello di Montalcino,2010,brunello,97,91.191704.5,5.808296.5
Ciacci Piccolomini d'Aragona Brunello di Montalcino Pianrosso Riserva Santa Caterina d'Oro,2007,brunello,97,92.103691.5,4.896309.5
Vina Alicia Paso de Piedra Malbec,2012,malbec,90,89.087891.5,0.912109.5
Le Potazzine Gorelli Brunello di Montalcino,2009,brunello,91,90.380646.5,0.619354.5
Il Marroneto Brunello di Montalcino,2010,brunello,93,91.390793.5,1.609207.5
Fanti Brunello di Montalcino,2010,brunello,94,90.036964.5,3.963036.5
Il Marroneto Brunello Madonne delle Grazie,2010,brunello,94,109.507439.5,-15.507439.5
Cordella Brunello di Montalcino,2010,brunello,98,90.992607.5,7.007393.5
Bellaria Brunello di Montalcino Assunto,2010,brunello,97,90.594421.5,6.405579.5
La Fortuna Brunello di Montalcino,2010,brunello,96,90.196236.5,5.803764.5
Marco Lazzeretti Brunello di Montalcino,2010,brunello,94,89.519325.5,4.480675.5
Citille di Sopra Brunello di Montalcino,2010,brunello,96,90.395332.5,5.604668.5
Tapiz Alta Collection Malbec,2012,malbec,93,89.247162.5,3.752838.5
Bodega Monteviejo Festivo Malbec,2013,malbec,91,89.142395.5,1.857605.5
Ricardo Santos Gran Reserva Malbec,2009,malbec,91,89.840210.5,1.159790.5
Calcu Malbec,2012,malbec,90,88.968437.5,1.031563.5
Lamadrid Gran Reserva Malbec,2010,malbec,93,89.536346.5,3.463654.5
Tapiz Seleccion de Barricas Red,2009,malbec,92,89.760574.5,2.239426.5
Alamos Malbec Mendoza Seleccion,2013,malbec,91,89.102577.5,1.897423.5
MAAL Biutiful Malbec,2013,malbec,91,89.222031.5,1.777969.5
Conti Costanti Brunello di Montalcino,2009,brunello,92,91.177017.5,0.822983.5
Val di Suga Vigna del Lago Brunello di Montalcino,2009,brunello,91,91.177017.5,-0.177017.5
Val di Suga Vigna Spuntali Brunello di Montalcino,2009,brunello,92,92.172081.5,-0.172081.5
Val di Suga Poggio al Granchio Brunello di Montalcino,2009,brunello,91,91.973389.5,-0.973389.5
Voliero Brunello di Montalcino,2009,brunello,92,90.022278.5,1.977722.5
Camigliano Gualto Brunello di Montalcino Riserva,2006,brunello,90,92.128426.5,-2.128426.5
Altesino Montosoli Brunello di Montalcino,2009,brunello,95,92.570671.5,2.429329.5
Le Ragnaie Brunello di Montalcino,2010,brunello,98,93.380928.5,4.619072.5
Le Chiuse Brunello di Montalcino,2010,brunello,95,90.594421.5,4.405579.5
Antucura Malbec,2014,malbec,90,89.117256.5,0.882744.5
Casarena Lauren's Vineyard Malbec,2011,malbec,91,90.068672.5,0.931328.5
CARO Aruma Malbec,2014,malbec,90,88.997803.5,1.002197.5
Caparzo Brunello di Montalcino Riserva,2012,brunello,92,92.057259.5,-0.057259.5
Dona Paula Estate Malbec,2013,malbec,92,89.022934.5,2.977066.5
Poggio Antico Brunello di Montalcino Altero,1997,brunello,94,92.355026.5,1.644974.5
Recuerdo Aliado Malbec,2012,malbec,90,89.685165.5,0.314835.5
Ruca Malen Malbec,2013,malbec,91,89.102577.5,1.897423.5
Catena Alta Malbec,2012,malbec,94,91.118637.5,2.881363.5
Zuccardi Q Malbec,2013,malbec,92,89.182213.5,2.817787.5
Livio Sassetti Brunello di Montalcino Pertimali,2010,brunello,100,94.177299.5,5.822701.5
Vina Cobos Bramare Marchiori Vineyard Malbec,2011,malbec,97,92.258690.5,4.741310.5
Vina Cobos Bramare Lujan de Cuyo Malbec,2012,malbec,94,90.043533.5,3.956467.5
Pulenta Estate Malbec,2011,malbec,92,89.471390.5,2.528610.5
Pulenta Gran Malbec X,2011,malbec,92,90.427040.5,1.572960.5
Mendel Malbec,2013,malbec,93,89.460938.5,3.539062.5
Palazzo Brunello di Montalcino,2010,brunello,98,91.032425.5,6.967575.5
Durigutti Malbec Clasico,2014,malbec,90,89.037621.5,0.962379.5
Fattoria Scopone Brunello di Montalcino L'Olivare,2010,brunello,95,90.196236.5,4.803764.5
Fattoria Scopone Brunello di Montalcino,2010,brunello,93,89.399864.5,3.600136.5
Crocus Malbec de Cahors,2011,malbec,90,90.267761.5,-0.267761.5
Il Bosco di Grazia Brunello di Montalcino Grazia,2010,brunello,96,90.196236.5,5.803764.5
Luca Malbec,2013,malbec,93,89.580399.5,3.419601.5
Vina Cobos Felino Malbec,2014,malbec,91,89.157074.5,1.842926.5
Marcelo Pelleriti Reserve Malbec,2012,malbec,93,89.207344.5,3.792656.5
Titus Malbec,2012,malbec,91,90.202812.5,0.797188.5
Bodega Cuarto Dominio Chento Malbec,2012,malbec,91,89.167526.5,1.832474.5
Catena Zapata Argentino Vineyard Malbec,2011,malbec,92,93.572708.5,-1.572708.5
Bodegas Nieto Senetiner Terroir Blend Malbec,2012,malbec,92,89.605530.5,2.394470.5
MAAL Imposible Malbec,2013,malbec,91,89.500763.5,1.499237.5
Antinori Pian Delle Vigne Brunello Di Montalcino,2010,brunello,96,91.390793.5,4.609207.5
Susana Balbo Signature Malbec,2013,malbec,92,89.381302.5,2.618698.5
Collosorbo Brunello di Montalcino,2010,brunello,92,90.196236.5,1.803764.5
Luigi Bosca Single Vineyard Malbec,2013,malbec,90,89.500763.5,0.499237.5
Riglos Gran Malbec,2013,malbec,91,89.620216.5,1.379784.5
Riglos Quinto Malbec,2014,malbec,90,89.356171.5,0.643829.5
Vina Cobos Bramare Marchiori Vineyard Malbec,2012,malbec,95,91.556641.5,3.443359.5
Angulo Innocenti Unisono,2011,malbec,92,90.148308.5,1.851692.5
Casarena Reservado Malbec,2013,malbec,91,89.261848.5,1.738152.5
Kaiken Ultra Malbec,2013,malbec,93,89.261848.5,3.738152.5
Val di Suga Brunello di Montalcino,2010,brunello,92,91.749557.5,0.250443.5
Fattoria dei Barbi Brunello di Montalcino Vigna del Fiore,2005,brunello,90,92.113739.5,-2.113739.5
Bodegas Renacer Punto Final Malbec Reserva,2013,malbec,90,89.222031.5,0.777969.5
Terrazas de los Andes Reserva Malbec,2013,malbec,92,89.261848.5,2.738152.5
Bodega Colome Reserva Malbec,2010,malbec,94,92.363464.5,1.636536.5
Vina Cobos Bramare Lujan de Cuyo Malbec,2013,malbec,92,89.978584.5,2.021416.5
Casanuova delle Cerbaie Brunello di Montalcino,1997,brunello,94,93.947769.5,0.052231.5
Trivento Golden Reserve Malbec,2013,malbec,92,89.301666.5,2.698334.5
Bodega Colome Estate Malbec,2013,malbec,93,89.500763.5,3.499237.5
Il Poggione Brunello di Montalcino Riserva Vigna Paganelli,2010,brunello,97,92.784843.5,4.215157.5
Koyle LTU Malbec,2009,malbec,93,90.636581.5,2.363419.5
Valdicava Brunello Riserva Madonna del Piano,2010,brunello,100,98.956322.5,1.043678.5
Pulenta Estate Malbec,2012,malbec,90,89.486076.5,0.513924.5
