name,vintage,varietal,location,price,score,prediction,difference,bordeauxBlends,syrah,pinot,italy,france,australia
Chateau Pichon-Longueville Baron,2000.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",249.97,96.0,94.75322,1.2467804,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Cheval Blanc,1998.0,Bordeaux Red Blends,"St. Emilion, Bordeaux, France",789.0,100.0,99.346664,0.6533356,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Palmer,1999.0,Bordeaux Red Blends,"Margaux, Bordeaux, France",399.97,91.0,96.03148,-5.031479,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Cos d'Estournel,2000.0,Bordeaux Red Blends,"St. Estephe, Bordeaux, France",259.97,95.0,94.83844,0.16156006,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Montrose (scuffed label),2000.0,Bordeaux Red Blends,"St. Estephe, Bordeaux, France",199.97,96.0,94.32713,1.6728668,1.0,0.0,0.0,0.0,1.0,0.0
Henschke Hill of Grace Shiraz,1998.0,Syrah/Shiraz,Australia,599.0,93.0,97.53692,-4.5369186,0.0,1.0,0.0,0.0,0.0,1.0
Chateau Ducru-Beaucaillou,2000.0,Bordeaux Red Blends,"St. Julien, Bordeaux, France",239.97,96.0,94.66801,1.3319931,1.0,0.0,0.0,0.0,1.0,0.0
Vieux Chateau Certan,2001.0,Bordeaux Red Blends,"Pomerol, Bordeaux, France",219.97,96.0,94.497574,1.5024261,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Potensac,2003.0,Bordeaux Red Blends,"Medoc, Bordeaux, France",49.99,92.0,93.04906,-1.049057,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Leoville Poyferre,2003.0,Bordeaux Red Blends,"St. Julien, Bordeaux, France",199.97,95.0,94.32713,0.6728668,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Duhart-Milon,2003.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",89.97,93.0,93.389755,-0.38975525,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Pontet-Canet,2003.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",149.0,93.0,93.89279,-0.89279175,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Pichon Longueville Comtesse de Lalande,2003.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",189.99,95.0,94.242096,0.75790405,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Cos d'Estournel,2003.0,Bordeaux Red Blends,"St. Estephe, Bordeaux, France",269.97,98.0,94.92366,3.0763397,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Mouton Rothschild,2003.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",599.97,92.0,97.73581,-5.7358093,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Leoville Las Cases,2003.0,Bordeaux Red Blends,"St. Julien, Bordeaux, France",289.99,97.0,95.09426,1.9057388,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Pichon-Longueville Baron,2003.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",189.97,96.0,94.24192,1.7580795,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Leoville Barton,2003.0,Bordeaux Red Blends,"St. Julien, Bordeaux, France",259.97,98.0,94.83844,3.16156,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Ducru-Beaucaillou,2003.0,Bordeaux Red Blends,"St. Julien, Bordeaux, France",229.97,94.0,94.58279,-0.58278656,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Smith Haut Lafitte,2003.0,Bordeaux Red Blends,"Pessac-Leognan, Bordeaux, France",119.97,93.0,93.6454,-0.645401,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Palmer,2003.0,Bordeaux Red Blends,"Margaux, Bordeaux, France",219.0,91.0,94.4893,-3.4893036,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Calon-Segur,2004.0,Bordeaux Red Blends,"St. Estephe, Bordeaux, France",89.0,91.0,93.381485,-2.381485,1.0,0.0,0.0,0.0,1.0,0.0
Chateau La Mission Haut-Brion (slightly stained label),2003.0,Bordeaux Red Blends,"Pessac-Leognan, Bordeaux, France",239.99,94.0,94.668175,-0.66817474,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Latour,2004.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",669.97,93.0,98.33232,-5.332321,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Giscours,2004.0,Bordeaux Red Blends,"Margaux, Bordeaux, France",59.99,91.0,93.13428,-2.1342773,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Leoville Las Cases,2005.0,Bordeaux Red Blends,"St. Julien, Bordeaux, France",349.99,99.0,95.60556,3.3944397,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Cos d'Estournel,2005.0,Bordeaux Red Blends,"St. Estephe, Bordeaux, France",279.99,99.0,95.00904,3.9909592,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Mouton Rothschild,2005.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",799.99,98.0,99.440315,-1.4403152,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Pichon Longueville Comtesse de Lalande,2005.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",179.97,93.0,94.15671,-1.1567078,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Palmer,2005.0,Bordeaux Red Blends,"Margaux, Bordeaux, France",399.97,94.0,96.03148,-2.031479,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Cheval Blanc,2005.0,Bordeaux Red Blends,"St. Emilion, Bordeaux, France",869.97,98.0,100.03666,-2.0366592,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Lynch-Bages,2005.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",269.99,96.0,94.92383,1.0761719,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Haut-Brion,2005.0,Bordeaux Red Blends,"Pessac-Leognan, Bordeaux, France",879.97,99.0,100.12188,-1.1218796,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Branaire-Ducru,2003.0,Bordeaux Red Blends,"St. Julien, Bordeaux, France",169.97,94.0,94.07149,-0.07148743,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Calon-Segur,2005.0,Bordeaux Red Blends,"St. Estephe, Bordeaux, France",139.97,93.0,93.81584,-0.8158417,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Giscours,2005.0,Bordeaux Red Blends,"Margaux, Bordeaux, France",109.0,95.0,93.551926,1.4480743,1.0,0.0,0.0,0.0,1.0,0.0
Chateau La Mission Haut-Brion,2005.0,Bordeaux Red Blends,"Pessac-Leognan, Bordeaux, France",819.99,99.0,99.61075,-0.6107483,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Montrose,2003.0,Bordeaux Red Blends,"St. Estephe, Bordeaux, France",259.97,97.0,94.83844,2.16156,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Montrose,2005.0,Bordeaux Red Blends,"St. Estephe, Bordeaux, France",199.99,96.0,94.32731,1.6726913,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Smith Haut Lafitte,2005.0,Bordeaux Red Blends,"Pessac-Leognan, Bordeaux, France",159.99,95.0,93.98644,1.0135574,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Smith Haut Lafitte,2000.0,Bordeaux Red Blends,"Pessac-Leognan, Bordeaux, France",229.97,90.0,94.58279,-4.5827866,1.0,0.0,0.0,0.0,1.0,0.0
Tenuta Guado al Tasso,2006.0,Bordeaux Red Blends,"Bolgheri, Tuscany, Italy",99.97,95.0,93.58139,1.4186096,1.0,0.0,0.0,1.0,0.0,0.0
Chateau Ducru-Beaucaillou,2005.0,Bordeaux Red Blends,"St. Julien, Bordeaux, France",279.99,95.0,95.00904,-0.0090408325,1.0,0.0,0.0,0.0,1.0,0.0
Tenuta Guado al Tasso,2005.0,Bordeaux Red Blends,"Bolgheri, Tuscany, Italy",95.0,92.0,93.53903,-1.539032,1.0,0.0,0.0,1.0,0.0,0.0
Chateau Rauzan-Segla,2005.0,Bordeaux Red Blends,"Margaux, Bordeaux, France",159.0,98.0,93.978004,4.0219955,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Mouton Rothschild,2006.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",599.97,95.0,97.73581,-2.7358093,1.0,0.0,0.0,0.0,1.0,0.0
Penfolds Grange,2004.0,Syrah/Shiraz,Australia,499.0,97.0,96.68475,0.31524658,0.0,1.0,0.0,0.0,0.0,1.0
Chateau Pontet-Canet,2006.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",139.97,93.0,93.81584,-0.8158417,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Rauzan-Segla,2005.0,Bordeaux Red Blends,"Margaux, Bordeaux, France",135.0,98.0,93.77348,4.2265167,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Grand-Puy-Lacoste,2005.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",159.99,97.0,93.98644,3.0135574,1.0,0.0,0.0,0.0,1.0,0.0
Domaine de Chevalier,2005.0,Bordeaux Red Blends,"Pessac-Leognan, Bordeaux, France",139.99,94.0,93.81601,0.18399048,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Fombrauge,2005.0,Bordeaux Red Blends,"St. Emilion, Bordeaux, France",54.99,94.0,93.09167,0.9083328,1.0,0.0,0.0,0.0,1.0,0.0
Chateau La Gaffeliere,2004.0,Bordeaux Red Blends,"St. Emilion, Bordeaux, France",42.98,92.0,92.98932,-0.98931885,1.0,0.0,0.0,0.0,1.0,0.0
Chateau La Gaffeliere,2005.0,Bordeaux Red Blends,"St. Emilion, Bordeaux, France",144.97,95.0,93.858444,1.1415558,1.0,0.0,0.0,0.0,1.0,0.0
Clos du Marquis,2005.0,Bordeaux Red Blends,"St. Julien, Bordeaux, France",89.99,92.0,93.38992,-1.3899231,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Cos d'Estournel,2006.0,Bordeaux Red Blends,"St. Estephe, Bordeaux, France",159.99,92.0,93.98644,-1.9864426,1.0,0.0,0.0,0.0,1.0,0.0
Domaine de Chevalier (Futures Pre-Sale),2009.0,Bordeaux Red Blends,"Pessac-Leognan, Bordeaux, France",89.99,97.0,93.38992,3.610077,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Pichon Longueville Comtesse de Lalande,2008.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",139.97,93.0,93.81584,-0.8158417,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Pichon Longueville Comtesse de Lalande (Futures Pre-Sale),2009.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",189.99,96.0,94.242096,1.757904,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Pavie,2008.0,Bordeaux Red Blends,"St. Emilion, Bordeaux, France",299.97,95.0,95.179306,-0.17930603,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Pavie (Futures Pre-Sale),2009.0,Bordeaux Red Blends,"St. Emilion, Bordeaux, France",289.0,97.0,95.08582,1.914177,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Pape Clement,2008.0,Bordeaux Red Blends,"Pessac-Leognan, Bordeaux, France",139.97,91.0,93.81584,-2.8158417,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Pape Clement (Futures Pre-Sale),2009.0,Bordeaux Red Blends,"Pessac-Leognan, Bordeaux, France",149.99,94.0,93.90123,0.09877014,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Palmer,2008.0,Bordeaux Red Blends,"Margaux, Bordeaux, France",219.0,93.0,94.4893,-1.4893036,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Montrose,2008.0,Bordeaux Red Blends,"St. Estephe, Bordeaux, France",129.97,94.0,93.73062,0.26937866,1.0,0.0,0.0,0.0,1.0,0.0
Chateau La Mission Haut-Brion,2008.0,Bordeaux Red Blends,"Pessac-Leognan, Bordeaux, France",279.99,93.0,95.00904,-2.0090408,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Haut-Brion,2008.0,Bordeaux Red Blends,"Pessac-Leognan, Bordeaux, France",519.97,94.0,97.05408,-3.0540771,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Grand-Puy-Lacoste (Futures Pre-Sale),2009.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",79.99,95.0,93.3047,1.6952972,1.0,0.0,0.0,0.0,1.0,0.0
Chateau de Fieuzal,2008.0,Bordeaux Red Blends,"Pessac-Leognan, Bordeaux, France",49.99,90.0,93.04906,-3.049057,1.0,0.0,0.0,0.0,1.0,0.0
Chateau de Fieuzal (Futures Pre-sale),2009.0,Bordeaux Red Blends,"Pessac-Leognan, Bordeaux, France",44.99,94.0,93.00645,0.99355316,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Cheval Blanc Le Petit Cheval (Futures Pre-Sale),2009.0,Bordeaux Red Blends,"St. Emilion, Bordeaux, France",159.0,94.0,93.978004,0.021995544,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Canon La Gaffeliere,2008.0,Bordeaux Red Blends,"St. Emilion, Bordeaux, France",99.99,91.0,93.47514,-2.4751434,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Canon La Gaffeliere (Futures Pre-Sale),2009.0,Bordeaux Red Blends,"St. Emilion, Bordeaux, France",94.99,97.0,93.43253,3.5674667,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Angelus (Futures Pre-Sale),2009.0,Bordeaux Red Blends,"St. Emilion, Bordeaux, France",329.0,97.0,95.42669,1.5733109,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Lynch-Bages,2006.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",179.97,92.0,94.15671,-2.1567078,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Lynch-Bages (Futures Pre-Sale),2009.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",134.99,97.0,93.7734,3.2266006,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Leoville Poyferre,2008.0,Bordeaux Red Blends,"St. Julien, Bordeaux, France",99.0,93.0,93.466705,-0.46670532,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Leoville Poyferre (Futures Pre-Sale),2009.0,Bordeaux Red Blends,"St. Julien, Bordeaux, France",149.99,96.0,93.90123,2.0987701,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Leoville Las Cases,2008.0,Bordeaux Red Blends,"St. Julien, Bordeaux, France",219.99,95.0,94.49774,0.5022583,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Leoville Las Cases (Futures Pre-Sale),2009.0,Bordeaux Red Blends,"St. Julien, Bordeaux, France",379.0,99.0,95.852776,3.1472244,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Leoville Barton,2005.0,Bordeaux Red Blends,"St. Julien, Bordeaux, France",176.99,96.0,94.13131,1.8686905,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Leoville Barton,2008.0,Bordeaux Red Blends,"St. Julien, Bordeaux, France",104.97,93.0,93.51758,-0.5175781,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Leoville Barton (Futures Pre-Sale),2009.0,Bordeaux Red Blends,"St. Julien, Bordeaux, France",99.99,96.0,93.47514,2.5248566,1.0,0.0,0.0,0.0,1.0,0.0
Les Forts de Latour,2005.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",239.99,94.0,94.668175,-0.66817474,1.0,0.0,0.0,0.0,1.0,0.0
Les Forts de Latour,2008.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",189.99,92.0,94.242096,-2.242096,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Latour,2008.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",629.99,95.0,97.99163,-2.9916306,1.0,0.0,0.0,0.0,1.0,0.0
Carruades de Lafite,2008.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",155.0,91.0,93.94392,-2.9439163,1.0,0.0,0.0,0.0,1.0,0.0
Carruades de Lafite (Futures Pre-Sale),2009.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",259.0,95.0,94.83017,0.16983032,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Lafite Rothschild,2008.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",989.97,95.0,101.059265,-6.059265,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Hosanna (Futures Pre-sale),2009.0,Bordeaux Red Blends,"Pomerol, Bordeaux, France",229.0,98.0,94.574524,3.425476,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Haut-Bailly,2008.0,Bordeaux Red Blends,"Pessac-Leognan, Bordeaux, France",159.97,92.0,93.98627,-1.9862671,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Haut-Bailly (Futures Pre-Sale),2009.0,Bordeaux Red Blends,"Pessac-Leognan, Bordeaux, France",129.99,97.0,93.73079,3.2692108,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Duhart-Milon,2008.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",89.97,92.0,93.389755,-1.3897552,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Duhart-Milon (Futures Pre-sale),2009.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",79.99,95.0,93.3047,1.6952972,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Cos d'Estournel,2008.0,Bordeaux Red Blends,"St. Estephe, Bordeaux, France",167.99,93.0,94.05461,-1.0546112,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Cos d'Estournel (Futures Pre-Sale),2009.0,Bordeaux Red Blends,"St. Estephe, Bordeaux, France",429.0,100.0,96.278854,3.7211456,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Clinet (Futures Pre-Sale),2009.0,Bordeaux Red Blends,"Pomerol, Bordeaux, France",149.99,96.0,93.90123,2.0987701,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Calon-Segur,2008.0,Bordeaux Red Blends,"St. Estephe, Bordeaux, France",129.99,93.0,93.73079,-0.7307892,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Lascombes (Futures Pre-Sale),2009.0,Bordeaux Red Blends,"Margaux, Bordeaux, France",84.99,94.0,93.34732,0.65267944,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Gloria (Futures Pre-Sale),2009.0,Bordeaux Red Blends,"St. Julien, Bordeaux, France",39.99,94.0,92.96384,1.0361633,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Cantenac Brown,2009.0,Bordeaux Red Blends,"Margaux, Bordeaux, France",99.0,93.0,93.466705,-0.46670532,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Canon,2005.0,Bordeaux Red Blends,"St. Emilion, Bordeaux, France",139.0,94.0,93.80757,0.19242859,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Canon (Futures Pre-Sale),2009.0,Bordeaux Red Blends,"St. Emilion, Bordeaux, France",144.99,96.0,93.85861,2.141388,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Sociando-Mallet  (Futures Pre-Sale),2009.0,Bordeaux Red Blends,"Haut Medoc, Bordeaux, France",54.99,94.0,93.09167,0.9083328,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Smith Haut Lafitte (Futures Pre-Sale),2009.0,Bordeaux Red Blends,"Pessac-Leognan, Bordeaux, France",124.99,96.0,93.68819,2.3118134,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Saint-Pierre (Futures Pre-Sale),2009.0,Bordeaux Red Blends,"St. Julien, Bordeaux, France",74.99,93.0,93.2621,-0.26210022,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Quinault l'Enclos (Futures Pre-sale),2009.0,Bordeaux Red Blends,"St. Emilion, Bordeaux, France",34.99,93.0,92.921234,0.07876587,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Pontet-Canet,2008.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",139.99,93.0,93.81601,-0.8160095,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Pontet-Canet (Futures Pre-Sale),2009.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",149.79,98.0,93.89952,4.100479,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Malartic-Lagraviere (Futures Pre-Sale),2009.0,Bordeaux Red Blends,"Pessac-Leognan, Bordeaux, France",74.99,93.0,93.2621,-0.26210022,1.0,0.0,0.0,0.0,1.0,0.0
Chateau LaTour-Martillac,2005.0,Bordeaux Red Blends,"Pessac-Leognan, Bordeaux, France",85.0,93.0,93.3474,-0.34739685,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Chauvin (Futures Pre-sale),2009.0,Bordeaux Red Blends,"St. Emilion, Bordeaux, France",42.99,91.0,92.98941,-1.9894104,1.0,0.0,0.0,0.0,1.0,0.0
Ornellaia (slightly scuffed label),2007.0,Bordeaux Red Blends,"Bolgheri, Tuscany, Italy",249.97,98.0,94.85964,3.140358,1.0,0.0,0.0,1.0,0.0,0.0
Chateau Brane-Cantenac (Futures Pre-Sale),2009.0,Bordeaux Red Blends,"Margaux, Bordeaux, France",74.49,93.0,93.25784,-0.25784302,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Olivier (Futures Pre-Sale),2009.0,Bordeaux Red Blends,"Pessac-Leognan, Bordeaux, France",31.79,92.0,92.89397,-0.8939667,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Rauzan-Segla,2006.0,Bordeaux Red Blends,"Margaux, Bordeaux, France",89.99,92.0,93.38992,-1.3899231,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Rauzan-Segla (Futures Pre-Sale),2009.0,Bordeaux Red Blends,"Margaux, Bordeaux, France",94.99,97.0,93.43253,3.5674667,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Prieure-Lichine (Futures Pre-sale),2009.0,Bordeaux Red Blends,"Margaux, Bordeaux, France",49.99,94.0,93.04906,0.950943,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Potensac (Futures Pre-sale),2009.0,Bordeaux Red Blends,"Medoc, Bordeaux, France",32.99,92.0,92.90419,-0.90419006,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Phelan Segur (Futures Pre-Sale),2009.0,Bordeaux Red Blends,"St. Estephe, Bordeaux, France",49.99,93.0,93.04906,-0.049057007,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Nenin,2005.0,Bordeaux Red Blends,"Pomerol, Bordeaux, France",57.99,96.0,93.11723,2.8827667,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Nenin (Futures Pre-Sale),2009.0,Bordeaux Red Blends,"Pomerol, Bordeaux, France",79.99,94.0,93.3047,0.69529724,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Meyney (Futures Pre-sale),2009.0,Bordeaux Red Blends,"St. Estephe, Bordeaux, France",38.99,93.0,92.95532,0.044677734,1.0,0.0,0.0,0.0,1.0,0.0
Chateau L'Eglise Clinet,2008.0,Bordeaux Red Blends,"Pomerol, Bordeaux, France",259.99,94.0,94.83861,-0.8386078,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Lagrange (Futures Pre-Sale),2009.0,Bordeaux Red Blends,"St. Julien, Bordeaux, France",64.99,94.0,93.17688,0.8231201,1.0,0.0,0.0,0.0,1.0,0.0
Chateau La Gaffeliere,2008.0,Bordeaux Red Blends,"St. Emilion, Bordeaux, France",57.0,93.0,93.108795,-0.108795166,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Haut-Batailley (Futures Pre-sale),2009.0,Bordeaux Red Blends,"Pauillac, Bordeaux, France",44.99,93.0,93.00645,-0.0064468384,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Ducru-Beaucaillou,2008.0,Bordeaux Red Blends,"St. Julien, Bordeaux, France",169.97,94.0,94.07149,-0.07148743,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Ducru-Beaucaillou (Futures Pre-Sale),2009.0,Bordeaux Red Blends,"St. Julien, Bordeaux, France",279.0,96.0,95.00061,0.99938965,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Brillette Moulis en Medoc (Futures Pre-sale),2009.0,Bordeaux Red Blends,"Medoc, Bordeaux, France",22.99,92.0,92.81897,-0.8189697,1.0,0.0,0.0,0.0,1.0,0.0
Chateau Bellefont Belcier (Futures Pre-sale),2009.0,Bordeaux Red Blends,"St. Emilion, Bordeaux, France",39.99,92.0,92.96384,-0.96383667,1.0,0.0,0.0,0.0,1.0,0.0
